연번,관광지명,주소,위도,경도,문화재구분,문화재번호,전화번호,관광테마,주차장 여부,주차 대수,기타_홈페이지 주소,상세내용
1,보물섬 승마랜드,경상남도 남해군 창선면 동부대로 2310,34.8621203,128.0150717,관광지,,0507-1384-0558,"봄, 여름, 가을, 겨울, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",Y,,,"조선왕조 시기 전역이 목장으로 설치되었던 창선도에 조성된 공공승마장. 먹이주기, 승마체험에서부터 승마에 대한 전문 교육도 가능하다."
2,남해서프라이즈,경상남도 남해군 상주면 남해대로697번길 50 (송림빌라) 1층,34.7207209,127.9843436,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로, 단체",Y,,,
3,화계 배선대,경상남도 남해군 이동면 화계리,34.7789245,127.9446796,관광지,,,,N,,,
4,덕신 줄당기기,경상남도 남해군 설천면 덕신리,34.927367,127.879469,관광지,,,,N,,,
5,남해화전매구보존회,경상남도 남해군 고현면 탑동로 42,34.8955192,127.8742401,관광지,,,,N,,,
6,남해고현집들이굿놀음보존회,경상남도 남해군 고현면 탑동로 65-31,34.8964003,127.8719738,관광지,,,,N,,,
7,한국연예예술인총연합회 남해지회,경상남도 남해군 남해읍 화전로 114-10,34.8419365,127.8946266,관광지,,,,N,,,
8,한국음악협회 남해지부,경상남도 남해군 남해읍 망운로 1-2,34.8379872,127.8937679,관광지,,,,N,,,
9,한국미술협회 남해지부,경상남도 남해군 삼동면 양화금로52번길 36-22,34.821176,128.0461754,관광지,,,,N,,,
10,한국문인협회 남해지부,경상남도 남해군 삼동면 동부대로1876번나길 34-1,34.8307585,128.0025151,관광지,,,,N,,,
11,남해문화원,경상남도 남해군 남해읍 선소로 12,34.8451138,127.8995432,관광지,,055-864-6969,,Y,,http://www.ccnh.or.kr/html/main/main.php,
12,뮤지엄남해&동창선아트스테이,경상남도 남해군 창선면 연곡로 13 뮤지엄남해,34.8700475,128.0408541,관광지,,055-867-2021,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女",Y,,http://www.xn--q20bo4d78is4fp3bg9flgk2a71j19glzhd2qfle30l.com/danuri.web,"폐교를 개조하여 재탄생된 복합문화공간인 뮤지엄 남해&동창선 아트스테이는 시각예술, 조형, 설치 등 다양한 장르의 전시를 개최하고, 레지던스 작가들과 함께하는 지역연계 프로그램을 진행함으로써 수준 높은 문화예술향유 기회를 제공한다. 아이들을 위한 물놀이장과 오토 캠핑장도 갖춰져있다."
13,남해각,경상남도 남해군 설천면 남해대로 4216,34.9407443,127.8724304,관광지,,055-860-8611,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,,http://namhaegak.com/,44년간 여관과 휴게소로서의 역할을 다한 이 유휴공간은 2021년 문화공간으로 탈바꿈되었다.
14,빛담촌,경남 남해군 남면 선구리 1405,34.7299086,127.8678414,관광지,,1588-3415,"마을여행, 봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,20,,"조용하고 아늑한 이 마을은 2011년 남해군이 남면 선구리 항촌마을에 조성한 펜션 단지이다. 21,764.7㎡ 규모로 조성된 빛담촌은 청정 남해바다와 조화를 이룬 쾌적한 주거·휴양 공간으로, 복잡한 현대 사회에 지친 도시민들과 귀촌을 꿈꾸는 사람들에게 ‘머물고 싶은 곳’으로 각광받고 있다."
15,남해충렬사와 노량회타운,남해군 노량로183번길 27,34.9419198,127.875899,관광지,,055-860-3311,"관광명소, 봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 효도, 나홀로, 단체",Y,,,
